Number_Of_Dependant,Years_At_Residence,Years_At_Business,Nb_Of_Products,DAY(BirthDate),DAY(Customer_Open_Date),DAY(Prod_Decision_Date),YEAR(BirthDate),YEAR(Customer_Open_Date),YEAR(Prod_Decision_Date),MONTH(BirthDate),MONTH(Customer_Open_Date),MONTH(Prod_Decision_Date),WEEKDAY(BirthDate),WEEKDAY(Customer_Open_Date),WEEKDAY(Prod_Decision_Date),Net_Annual_Income_transform,Customer_Type_Existing Client,Customer_Type_Non Existing Client,P_Client_NP_Client,P_Client_P_Client,Educational_Level_Diploma,Educational_Level_Master/PhD,Educational_Level_Secondary or Less,Educational_Level_University,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Separated,Marital_Status_Single,Marital_Status_Widowed,Prod_Sub_Category_C,Prod_Sub_Category_G,Prod_Sub_Category_P,Source_Branch,Source_Sales,Type_Of_Residence_Company,Type_Of_Residence_New rent,Type_Of_Residence_Old rent,Type_Of_Residence_Owned,Type_Of_Residence_Parents,Prod_Category_A,Prod_Category_B,Prod_Category_C,Prod_Category_D,Prod_Category_E,Prod_Category_F,Prod_Category_G,Prod_Category_H,Prod_Category_I,Prod_Category_J,Prod_Category_K,Prod_Category_L,Prod_Category_M,KMeans 2,KMeans 3,Agglomerative Clustering Cosine,Agglomerative Clustering Euclidean,DBSCAN eps=3,Y
3.0,7,11.0,1,6,5,23,1965,2007,2011,8,6,5,4,1,0,100.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0,1,1.0,1,5,10,10,1956,2007,2011,12,6,5,2,6,1,18.0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0.0,33,3.0,1,20,26,10,1977,2007,2011,4,7,5,2,3,1,60.0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.0,10,1.0,1,8,18,15,1982,2007,2011,7,9,5,3,1,6,18.0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,3,0
2.0,30,2.0,1,16,27,9,1981,2007,2011,1,11,5,4,1,0,18.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0
0.0,26,5.0,1,17,29,12,1984,2007,2011,10,11,5,2,3,3,18.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
2.0,7,11.0,1,14,28,3,1973,2008,2011,12,1,5,4,0,1,18.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
1.0,20,5.0,1,21,29,30,1981,2008,2011,2,1,5,5,1,0,24.0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
3.0,20,3.0,2,23,21,29,1964,2008,2011,2,2,5,6,3,6,50.0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0.0,5,1.0,1,2,11,9,1961,2008,2011,6,3,5,4,1,0,48.0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.0,12,2.0,1,21,13,18,1985,2008,2011,5,4,5,1,6,2,18.0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
3.0,3,3.0,1,13,20,24,1981,2008,2011,4,4,5,0,6,1,3304.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
5.0,1,1.0,2,31,5,15,1960,2008,2011,3,5,5,3,0,6,18.0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.0,10,1.0,1,29,16,9,1979,2008,2011,5,7,5,1,2,0,20.0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3.0,6,5.0,1,2,8,24,1975,2008,2011,12,10,5,1,2,1,36.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
4.0,3,1.0,1,6,12,4,1979,2008,2011,12,10,5,3,6,2,18.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0
4.0,11,3.0,1,21,17,2,1974,2008,2011,8,11,5,2,0,0,36.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0.0,10,4.0,1,31,8,5,1983,2009,2011,10,1,5,0,3,3,21516.0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4.0,20,3.0,1,2,16,30,1966,2009,2011,2,2,5,2,0,0,120.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0
0.0,22,2.0,1,28,22,4,1984,2009,2011,1,2,5,5,6,2,18.0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.0,4,12.0,2,9,26,10,1957,2009,2011,12,2,5,0,3,1,18.0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,15,1.0,1,6,11,25,1955,2009,2011,11,3,5,6,2,2,40.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0
2.0,23,1.0,1,23,16,17,1961,2009,2011,7,3,5,6,0,1,18.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0
0.0,2,1.0,1,24,19,12,1977,2009,2011,8,3,5,2,3,3,24.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,4,0
0.0,15,1.0,1,25,26,26,1953,2009,2011,10,3,5,6,3,3,70.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0
4.0,20,2.0,1,28,26,15,1960,2009,2011,2,3,5,6,3,6,18.0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0.0,2,3.0,1,29,29,30,1987,2009,2011,8,3,5,5,6,0,42.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,1
3.0,16,1.0,1,7,31,17,1974,2009,2011,9,3,5,5,1,1,18.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0
2.0,15,15.0,1,25,31,26,1972,2009,2011,3,3,5,5,1,3,18.0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,10,8.0,1,4,31,11,1981,2009,2011,1,3,5,6,1,2,63.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.0,12,17.0,1,12,2,4,1957,2009,2011,10,4,5,5,3,2,18.0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3.0,21,1.0,1,26,5,8,1954,2009,2011,8,4,5,3,6,6,18.0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0.0,1,1.0,1,18,6,3,1975,2009,2011,7,4,5,4,0,1,24.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,1
3.0,15,1.0,1,28,17,23,1952,2009,2011,2,5,5,3,6,0,100.0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
2.0,55,2.0,1,9,25,4,1956,2009,2011,10,5,5,1,0,2,18.0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0,21,4.0,1,5,15,18,1984,2009,2011,12,7,5,2,2,2,120.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6.0,3,24.0,1,18,29,23,1962,2009,2011,8,7,5,5,2,0,51456.0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.0,4,2.0,1,11,12,22,1985,2009,2011,1,8,5,4,2,6,30357.0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.0,1,1.0,1,2,13,16,1977,2009,2011,7,10,5,5,1,0,18.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0
0.0,20,1.0,1,22,19,24,1957,2009,2011,9,10,5,6,0,1,18.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0
2.0,1,1.0,2,12,25,4,1978,2009,2011,9,11,5,1,2,2,18.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0
3.0,20,1.0,1,25,25,8,1956,2009,2011,11,11,5,6,2,6,18.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1
1.0,40,2.0,1,6,24,15,1963,2009,2011,1,12,5,6,3,6,18.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0
0.0,1,1.0,1,5,13,15,1966,2010,2011,12,1,5,0,2,6,240.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0
0.0,32,1.0,1,28,9,17,1978,2010,2011,9,3,5,3,1,1,18.0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0
0.0,10,1.0,1,23,10,11,1986,2010,2011,10,3,5,3,2,2,42.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,6,0
0.0,10,1.0,1,7,17,26,1978,2010,2011,12,3,5,3,2,3,18.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0
1.0,25,3.0,1,10,1,5,1984,2011,2011,1,5,5,1,6,3,24.0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0
4.0,1,6.0,1,16,6,30,1976,2010,2011,2,4,5,0,1,0,30.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0
