Number_Of_Dependant,Years_At_Residence,Years_At_Business,Nb_Of_Products,DAY(BirthDate),DAY(Prod_Decision_Date),DAY(Customer_Open_Date),YEAR(BirthDate),YEAR(Prod_Decision_Date),YEAR(Customer_Open_Date),MONTH(BirthDate),MONTH(Prod_Decision_Date),MONTH(Customer_Open_Date),WEEKDAY(BirthDate),WEEKDAY(Prod_Decision_Date),WEEKDAY(Customer_Open_Date),Net_Annual_Income_transform,Y
0.0,25,2.0,1,25,13,11,1953,2011,2011,2,12,12,2,1,6,18.0,0
0.0,25,3.0,1,15,24,18,1982,2011,2008,11,10,9,0,0,3,4602.0,0
2.0,13,1.0,1,29,7,23,1960,2011,2007,3,6,12,1,1,6,36.0,0
0.0,10,1.0,1,29,27,26,1981,2012,2012,1,3,3,3,1,0,36.0,0
0.0,7,1.0,1,8,2,22,1977,2011,2011,12,8,2,3,1,1,36.0,1
2.0,1,2.0,1,10,12,3,1984,2012,2012,9,1,1,0,3,1,18.0,0
0.0,1,1.0,1,25,8,25,1952,2012,2006,7,3,9,4,3,0,36.0,0
0.0,15,1.0,1,10,12,12,1976,2012,2012,1,1,1,5,3,3,30.0,0
0.0,16,1.0,1,12,21,19,1952,2011,2011,9,7,7,4,3,1,20.0,0
2.0,15,1.0,3,10,8,6,1959,2011,2011,1,6,6,5,2,0,30.0,0
0.0,10,3.0,1,30,28,18,1983,2011,2011,10,12,12,6,2,6,219.0,0
0.0,1,1.0,1,6,17,12,1948,2011,2000,4,8,3,1,2,6,20.0,1
1.0,3,1.0,1,7,25,24,1986,2011,2011,4,5,5,0,2,1,18.0,0
3.0,10,2.0,1,16,27,19,1949,2011,2011,12,9,9,4,1,0,18.0,0
3.0,10,8.0,1,16,4,30,1977,2011,2009,9,9,8,4,6,6,50.0,0
2.0,6,1.0,1,2,7,1,1979,2011,2011,12,6,6,6,1,2,18.0,0
2.0,4,2.0,1,10,20,18,1976,2011,2011,5,9,9,0,1,6,18.0,0
0.0,15,1.0,2,4,21,14,1976,2011,2011,2,7,7,2,3,3,30.0,0
0.0,1,1.0,1,16,22,17,1973,2012,2012,1,1,1,1,6,1,36.0,0
0.0,10,3.0,1,12,5,3,1961,2012,2012,11,1,1,6,3,1,480.0,0
0.0,15,1.0,1,30,11,8,1960,2011,2011,7,12,12,5,6,3,30.0,0
3.0,30,2.0,1,17,31,28,1970,2012,2012,9,3,3,3,5,2,18.0,0
0.0,10,10.0,1,4,29,19,1959,2012,2009,1,3,3,6,3,3,36.0,0
2.0,3,2.0,1,11,7,6,1976,2012,2012,6,3,3,4,2,1,18.0,0
3.0,40,1.0,2,28,26,14,1950,2011,2011,11,7,7,1,1,3,36.0,0
2.0,4,3.0,1,12,7,15,1968,2012,2010,7,2,12,4,1,2,70.0,1
0.0,1,1.0,1,20,6,5,1976,2011,2011,9,12,12,0,1,0,25.0,1
3.0,29,1.0,1,14,25,7,1982,2011,2011,10,7,7,3,0,3,264.0,0
0.0,20,5.0,1,25,8,28,1969,2011,2010,4,9,11,4,3,6,50.0,0
0.0,18,3.0,1,25,19,20,1958,2011,2011,10,7,6,5,1,0,96.0,0
4.0,1,1.0,1,6,13,12,1965,2011,2011,8,12,12,4,1,0,36.0,0
0.0,15,1.0,1,20,21,15,1962,2011,2011,5,6,6,6,1,2,30.0,0
0.0,24,2.0,1,9,1,31,1986,2011,2011,6,6,5,0,2,1,24.0,0
0.0,15,1.0,1,8,27,26,1971,2011,2011,8,10,10,6,3,2,30.0,0
2.0,28,30.0,1,4,23,18,1952,2012,2012,1,1,1,4,0,2,80.0,0
0.0,15,1.0,1,11,18,17,1981,2011,2011,12,10,10,4,1,0,30.0,0
0.0,15,1.0,1,3,21,3,1980,2012,2008,5,2,3,5,1,0,36.0,0
3.0,6,1.0,1,10,1,31,1974,2011,2011,10,8,7,3,0,6,20.0,0
0.0,15,2.0,1,18,19,18,1971,2012,2012,6,3,3,4,0,6,18.0,0
5.0,2,10.0,1,24,9,3,1973,2012,2012,3,1,1,5,0,1,300.0,0
0.0,10,10.0,1,14,22,25,1964,2012,2010,12,3,2,0,3,3,360.0,0
0.0,15,1.0,1,9,19,16,1983,2012,2012,1,3,2,6,0,3,36.0,0
4.0,14,98.0,1,11,16,8,1975,2011,2011,12,5,5,3,0,6,18.0,0
0.0,15,1.0,1,22,25,22,1954,2012,2012,12,3,3,2,6,3,36.0,1
0.0,10,10.0,1,27,23,22,1958,2011,2011,8,5,5,2,0,6,36.0,0
2.0,12,2.0,1,3,11,8,1982,2011,2011,2,9,9,2,6,3,18.0,0
1.0,11,2.0,2,3,25,14,1968,2011,2011,12,11,11,1,4,0,18.0,0
0.0,10,5.0,1,14,12,25,1981,2012,2012,10,4,3,2,3,6,36.0,0
2.0,1,1.0,2,21,27,22,1975,2011,2011,8,6,6,3,0,2,36.0,0
3.0,1,1.0,1,11,17,12,1966,2012,2012,6,4,4,5,1,3,36.0,0
3.0,1,1.0,1,9,28,27,1973,2012,2012,1,2,2,1,1,0,36.0,1
2.0,1,1.0,1,27,9,8,1976,2012,2012,5,2,2,3,3,2,36.0,0
1.0,34,7.0,1,20,15,18,1977,2012,2007,10,2,7,3,2,2,32088.0,0
1.0,32,3.0,2,28,23,11,1979,2012,2012,11,1,1,2,0,2,60.0,0
2.0,1,1.0,1,2,17,13,1976,2011,2009,9,11,4,3,3,0,36.0,0
0.0,12,2.0,1,11,25,22,1973,2011,2011,10,9,9,3,6,3,18.0,0
0.0,15,1.0,1,29,1,22,1960,2012,2012,12,3,2,3,3,2,36.0,0
2.0,22,2.0,1,13,13,12,1981,2011,2011,7,12,12,0,1,0,18.0,0
0.0,10,10.0,1,13,11,9,1953,2012,2012,5,1,1,2,2,0,50.0,0
1.0,24,3.0,1,15,6,22,1987,2012,2010,8,3,12,5,1,2,22752.0,0
0.0,16,10.0,1,17,20,19,1989,2012,2012,3,3,3,4,1,0,36.0,0
3.0,20,32.0,1,23,28,4,1954,2011,2009,10,12,11,5,2,2,250.0,0
1.0,30,1.0,2,13,21,18,1969,2011,2011,9,8,8,5,6,3,20.0,0
0.0,10,1.0,1,22,16,15,1951,2011,2011,2,6,6,3,3,2,36.0,0
1.0,10,3.0,1,9,19,9,1980,2012,2012,4,4,4,2,3,0,36.0,0
2.0,1,1.0,1,23,29,25,1982,2012,2012,7,3,3,4,3,6,36.0,0
4.0,35,2.0,1,9,6,5,1956,2011,2011,8,12,12,3,1,0,18.0,0
0.0,15,1.0,1,20,5,4,1952,2012,2012,3,3,3,3,0,6,36.0,0
0.0,1,1.0,1,1,3,19,1988,2012,2011,7,1,12,4,1,0,25.0,0
0.0,3,3.0,1,25,27,26,1979,2012,2012,6,2,2,0,0,6,36.0,0
0.0,1,3.0,1,4,31,29,1987,2012,2012,11,1,1,2,1,6,30.0,0
0.0,1,1.0,1,9,22,21,1969,2011,2011,10,8,8,3,0,6,20.0,0
0.0,20,2.0,2,9,8,7,1973,2011,2011,9,8,8,6,0,6,18.0,0
3.0,1,1.0,1,4,30,27,1953,2011,2011,8,11,10,1,2,3,25.0,0
1.0,4,2.0,1,14,11,10,1982,2012,2005,9,1,1,1,2,0,18.0,0
6.0,8,10.0,1,5,17,24,1963,2011,2011,11,11,10,1,3,0,120.0,0
0.0,0,9.0,1,7,30,9,1979,2012,2012,1,1,1,6,0,0,40.0,0
2.0,50,1.0,1,18,20,8,1953,2011,2010,9,12,6,4,1,1,25.0,0
0.0,27,3.0,1,20,29,24,1983,2011,2011,6,5,5,0,6,1,384.0,0
0.0,30,29.0,1,17,15,14,1952,2011,2011,9,8,8,2,0,6,25.0,0
0.0,29,0.0,1,30,29,15,1982,2012,2006,9,2,10,3,2,6,195.0,0
1.0,20,5.0,1,21,30,29,1981,2011,2008,2,5,1,5,0,1,24.0,0
0.0,15,1.0,1,30,25,25,1965,2011,2011,6,7,7,2,0,0,30.0,0
1.0,10,1.0,1,13,29,28,1968,2012,2012,4,2,2,5,2,1,36.0,0
0.0,13,1.0,1,16,17,16,1966,2011,2011,7,10,10,5,0,6,20.0,0
3.0,10,3.0,1,6,9,5,1947,2011,2011,10,10,10,0,6,2,36.0,0
2.0,1,1.0,1,4,18,15,1964,2011,2011,6,9,9,3,6,3,36.0,0
5.0,6,4.0,1,13,30,8,1956,2012,2007,10,3,11,5,4,3,237264.0,0
0.0,1,1.0,1,28,11,8,1953,2012,2012,10,3,3,2,6,3,36.0,0
0.0,15,1.0,1,9,4,1,1957,2011,2011,2,12,12,5,6,3,30.0,0
0.0,15,1.0,1,15,1,31,1980,2011,2011,11,11,10,5,1,0,30.0,0
3.0,1,1.0,1,3,14,13,1954,2011,2011,1,9,9,6,2,1,36.0,0
4.0,1,1.0,1,24,25,15,1967,2011,2011,11,9,9,4,6,3,36.0,0
5.0,10,3.0,1,10,29,21,1958,2011,2008,1,11,8,4,1,3,115416.0,0
2.0,8,1.0,1,24,27,3,1978,2011,2011,3,7,7,4,2,6,20.0,0
0.0,15,1.0,1,13,16,15,1967,2012,2012,12,2,2,2,3,2,36.0,0
0.0,1,1.0,1,13,1,26,1962,2012,2012,5,3,2,6,3,6,36.0,0
0.0,5,2.0,1,15,3,19,1985,2012,2011,4,1,12,0,1,0,18.0,0
3.0,22,2.0,1,27,30,13,1955,2012,2009,11,1,4,6,0,0,18.0,0
0.0,15,1.0,1,17,18,15,1963,2012,2012,8,1,1,5,2,6,30.0,0
0.0,10,1.0,1,21,1,31,1973,2011,2011,1,8,7,6,0,6,36.0,0
1.0,15,10.0,2,28,25,12,1952,2011,2007,11,10,8,4,1,6,576.0,0
2.0,10,17.0,1,17,28,27,1968,2012,2012,4,3,3,2,2,1,36.0,0
0.0,17,10.0,1,26,19,25,1965,2011,2010,12,10,2,6,2,3,50.0,0
5.0,3,1.0,1,31,20,16,1958,2011,2011,1,8,8,4,5,1,36.0,0
1.0,2,1.0,1,15,23,10,1980,2011,2011,7,10,10,1,6,0,18.0,0
2.0,15,1.0,1,19,21,18,1947,2011,2011,7,7,7,5,3,0,30.0,0
0.0,1,1.0,1,15,26,24,1981,2012,2012,2,4,4,6,3,1,36.0,0
2.0,10,1.0,2,1,17,14,1973,2011,2011,1,7,7,0,6,3,36.0,0
3.0,22,2.0,1,16,3,2,1971,2012,2012,3,4,4,1,1,0,158.0,0
0.0,30,20.0,1,22,21,2,1969,2011,2011,9,9,1,0,2,6,50.0,0
0.0,10,3.0,1,8,19,16,1987,2012,2012,9,2,2,1,6,3,36.0,1
0.0,8,1.0,1,8,26,25,1986,2012,2011,8,1,12,4,3,6,25.0,1
2.0,31,5.0,1,18,11,29,1978,2011,2011,8,10,9,4,1,3,18.0,0
1.0,2,1.0,1,25,22,18,1983,2011,2011,7,12,12,0,3,6,25.0,0
2.0,13,1.0,1,29,10,9,1953,2011,2011,9,10,10,1,0,6,20.0,0
0.0,15,1.0,1,10,13,12,1975,2011,2011,1,6,6,4,0,6,30.0,0
1.0,2,2.0,1,18,14,12,1981,2011,2011,9,12,12,4,2,0,18.0,1
0.0,15,1.0,1,25,20,17,1985,2011,2011,5,10,10,5,3,0,12.0,0
0.0,20,14.0,1,20,4,23,1970,2011,2011,8,12,11,3,6,2,60.0,0
2.0,25,0.0,1,3,5,2,1975,2011,2006,3,12,7,0,0,6,624.0,0
2.0,6,10.0,1,22,12,1,1976,2012,2012,8,3,3,6,0,3,12.0,0
0.0,4,12.0,2,9,10,26,1957,2011,2009,12,5,2,0,1,3,18.0,0
0.0,15,2.0,1,11,22,2,1964,2011,2004,2,12,11,1,3,1,100.0,0
0.0,15,1.0,1,13,16,6,1978,2011,2010,8,8,5,6,1,3,24816.0,1
0.0,10,2.0,1,17,6,15,1985,2011,2009,12,6,6,1,0,0,36.0,0
3.0,30,1.0,2,9,15,13,1955,2011,2011,12,5,3,4,6,6,36.0,0
0.0,1,1.0,1,26,1,27,1980,2011,2011,8,11,10,1,1,3,36.0,0
3.0,21,1.0,1,22,23,22,1956,2011,2011,3,8,8,3,1,0,36.0,0
0.0,25,40.0,1,9,7,18,1948,2012,2008,7,2,9,4,1,3,150.0,0
2.0,30,5.0,1,6,18,14,1946,2012,1983,12,1,4,4,2,3,1200.0,0
0.0,15,1.0,1,2,9,5,1982,2011,2011,12,10,10,3,6,2,30.0,0
0.0,15,1.0,1,2,23,22,1960,2012,2012,1,4,4,5,0,6,36.0,0
0.0,1,1.0,1,10,23,22,1985,2012,2012,3,1,1,6,0,6,25.0,0
2.0,10,3.0,1,16,30,17,1968,2011,2009,5,11,9,3,2,3,36.0,0
0.0,20,10.0,1,14,15,12,1976,2012,2012,4,3,2,2,3,6,516.0,1
0.0,20,1.0,1,21,24,1,1981,2011,2009,5,8,4,3,2,2,36.0,0
0.0,16,16.0,1,6,11,30,1963,2012,2006,11,4,8,2,2,2,36.0,0
0.0,22,2.0,1,22,26,25,1975,2011,2011,1,9,9,2,0,6,18.0,0
0.0,6,2.0,1,12,15,7,1980,2011,2011,3,9,9,2,3,2,22.0,0
0.0,15,1.0,1,15,27,28,1981,2012,2011,8,3,8,5,1,6,36.0,0
0.0,15,1.0,1,21,23,22,1989,2011,2011,3,5,5,1,0,6,30.0,0
0.0,15,1.0,1,4,14,8,1962,2012,2012,11,2,2,6,1,2,36.0,0
0.0,10,3.0,1,10,24,23,1981,2012,2012,1,1,1,5,1,0,36.0,1
0.0,15,1.0,1,15,16,15,1982,2011,2011,11,11,11,0,2,1,30.0,0
2.0,1,1.0,1,28,19,16,1972,2011,2011,10,10,10,5,2,6,36.0,0
3.0,20,16.0,1,24,24,27,1974,2012,2012,3,4,2,6,1,0,537.0,0
0.0,15,1.0,1,1,20,19,1958,2011,2011,10,7,7,2,2,1,36.0,0
3.0,7,1.0,1,19,4,1,1981,2011,2011,4,12,12,6,6,3,25.0,1
0.0,0,1.0,1,27,1,30,1986,2011,2011,5,6,5,1,2,0,30.0,1
0.0,16,6.0,1,2,30,1,1984,2011,2010,12,5,11,6,0,0,588.0,0
0.0,10,10.0,1,15,24,23,1968,2011,2011,9,11,11,6,3,2,36.0,0
0.0,26,1.0,2,5,14,9,1976,2011,2004,10,7,12,1,3,3,252.0,0
0.0,10,10.0,3,28,17,16,1957,2011,2011,10,10,10,0,0,6,50.0,0
4.0,30,1.0,1,25,22,20,1948,2012,2012,11,2,2,3,2,0,25.0,0
0.0,10,3.0,1,30,30,21,1956,2012,2012,3,1,1,4,0,5,36.0,0
0.0,10,2.0,1,11,17,5,1978,2011,2011,3,7,7,5,6,1,18.0,0
0.0,15,1.0,1,24,30,27,1972,2011,2011,8,11,10,3,2,3,30.0,0
0.0,15,1.0,2,7,4,13,1972,2011,2011,4,10,9,4,1,1,30.0,0
0.0,1,1.0,1,7,16,11,1978,2011,2011,4,5,5,4,0,2,18.0,0
0.0,22,2.0,1,17,29,21,1968,2012,2012,8,3,3,5,3,2,18.0,0
0.0,15,1.0,2,1,19,17,1958,2011,2011,3,7,7,5,1,6,21.0,0
0.0,11,12.0,1,17,11,4,1975,2011,2011,2,8,8,0,3,3,50.0,0
3.0,25,1.0,1,23,7,5,1976,2011,2011,7,9,9,4,2,0,20.0,0
3.0,24,1.0,2,9,29,9,1956,2012,2009,2,1,12,3,6,2,25.0,0
3.0,10,3.0,1,7,15,14,1971,2012,2012,2,3,3,6,3,2,36.0,0
3.0,3,3.0,2,4,13,8,1978,2011,2005,9,11,12,0,6,3,80.0,0
2.0,9,1.0,1,7,18,13,1972,2011,2011,4,7,7,4,0,2,20.0,0
3.0,1,1.0,1,1,20,18,1970,2011,2011,5,7,7,4,2,0,20.0,0
0.0,15,1.0,1,4,6,2,1961,2012,2012,5,2,2,3,0,3,216.0,0
1.0,18,2.0,1,17,30,27,1982,2011,2011,4,7,7,5,5,2,60.0,0
2.0,2,1.0,1,23,20,16,1979,2011,2011,9,8,8,6,5,1,35.0,0
2.0,2,3.0,1,11,25,24,1978,2011,2011,2,5,5,5,2,1,36.0,0
0.0,2,2.0,1,25,11,8,1950,2012,2012,4,4,4,1,2,6,36.0,0
2.0,10,2.0,1,30,20,19,1973,2012,2012,5,2,2,2,0,6,60.0,0
4.0,5,5.0,1,11,4,3,1969,2011,2007,12,10,12,3,1,0,100.0,0
3.0,10,1.0,1,26,22,7,1974,2011,2010,3,9,11,1,3,6,283172.0,0
0.0,25,3.0,1,24,22,26,1986,2011,2008,5,8,3,5,0,2,30456.0,0
0.0,1,1.0,1,11,18,12,1963,2011,2011,3,9,9,0,6,0,20.0,0
2.0,2,2.0,1,11,21,20,1975,2011,2011,6,9,9,2,2,1,18.0,0
0.0,10,10.0,1,5,29,26,1951,2012,2012,12,3,3,2,3,0,36.0,0
2.0,1,1.0,1,14,27,9,1967,2011,2011,8,10,10,0,3,6,36.0,1
0.0,5,1.0,2,2,1,12,1989,2012,2012,4,2,1,6,2,3,258.0,0
2.0,1,1.0,1,21,24,23,1953,2012,2012,6,4,4,6,1,0,36.0,0
2.0,32,1.0,1,22,11,5,1951,2011,2008,1,8,6,0,3,3,20.0,1
0.0,13,1.0,1,25,10,5,1989,2012,2012,5,1,1,3,1,3,25.0,1
0.0,15,1.0,1,25,21,15,1982,2012,2012,12,2,2,5,1,2,36.0,0
1.0,30,9.0,1,21,5,25,1981,2012,2010,4,1,11,1,3,3,100.0,0
0.0,25,2.0,1,25,23,26,1986,2011,2010,9,10,1,3,6,1,36.0,0
2.0,20,1.0,1,21,19,17,1969,2011,2011,1,7,7,1,1,6,20.0,0
0.0,1,1.0,1,19,26,24,1961,2012,2012,5,1,1,4,3,1,36.0,0
2.0,2,2.0,1,9,2,20,1985,2011,2011,1,8,4,2,1,2,200.0,0
0.0,22,2.0,1,30,22,21,1951,2012,2012,10,4,4,1,6,5,80.0,0
0.0,15,1.0,1,6,9,8,1970,2011,2011,8,8,8,3,1,0,30.0,0
0.0,24,24.0,1,18,16,14,1987,2012,2012,9,1,1,4,0,5,36.0,0
0.0,20,2.0,1,1,4,18,1985,2012,2010,1,1,4,1,2,6,228.0,0
2.0,10,1.0,1,11,2,31,1974,2011,2011,12,11,10,2,2,0,20.0,0
0.0,26,1.0,1,7,15,10,1985,2011,2011,9,5,5,5,6,1,36.0,0
0.0,10,3.0,1,29,20,18,1981,2012,2012,11,3,3,6,1,6,36.0,0
2.0,18,3.0,1,27,12,24,1960,2011,2009,3,10,2,6,2,1,18.0,0
3.0,15,1.0,1,1,14,13,1959,2011,2011,3,6,6,6,1,0,30.0,0
1.0,2,5.0,1,4,9,6,1986,2012,2012,2,2,2,1,3,0,42.0,0
0.0,10,1.0,1,20,3,29,1986,2011,2011,4,7,6,6,6,2,50.0,0
0.0,15,1.0,1,5,31,2,1970,2011,2011,3,10,10,3,0,6,30.0,0
3.0,10,10.0,1,6,22,21,1957,2012,1994,1,2,12,6,2,2,200.0,0
0.0,10,3.0,1,16,28,24,1949,2011,2011,12,11,11,4,0,3,36.0,0
0.0,1,1.0,1,18,1,30,1985,2011,2011,2,12,11,0,3,2,250.0,0
2.0,22,2.0,1,9,26,22,1968,2011,2011,7,9,9,1,0,3,18.0,0
3.0,20,7.0,1,6,20,11,1972,2011,2006,4,6,4,3,0,1,110.0,0
2.0,12,9.0,1,16,19,13,1979,2012,2012,8,3,3,3,0,1,108.0,0
1.0,15,5.0,2,22,21,17,1958,2012,2011,12,3,10,0,2,0,1000.0,0
2.0,7,24.0,1,30,26,1,1964,2012,2004,5,3,7,5,0,3,120.0,0
0.0,11,3.0,1,12,3,20,1983,2012,2011,8,1,12,4,1,1,36.0,0
1.0,1,1.0,2,21,25,19,1974,2011,2011,9,7,7,5,0,1,24.0,0
0.0,10,1.0,1,26,12,9,1989,2011,2011,1,6,6,3,6,3,18.0,1
0.0,1,1.0,1,27,11,7,1987,2011,2011,3,8,8,4,3,6,36.0,1
2.0,3,10.0,1,23,25,5,1961,2011,2011,10,10,9,0,1,0,800.0,0
0.0,12,2.0,1,12,27,14,1978,2011,2011,7,7,7,2,2,3,18.0,0
2.0,1,1.0,1,5,28,26,1975,2012,2012,3,3,3,2,2,0,36.0,0
2.0,1,1.0,1,2,21,13,1980,2011,2011,2,9,9,5,2,1,20.0,0
0.0,4,1.0,1,4,17,11,1981,2011,2011,1,10,10,6,0,1,24.0,0
0.0,1,1.0,1,18,24,17,1987,2011,2009,7,8,11,5,2,1,20.0,0
0.0,1,1.0,1,7,10,25,1988,2012,2009,1,4,8,3,1,1,36.0,0
3.0,21,15.0,1,25,17,9,1974,2012,2012,8,4,4,6,1,0,40.0,0
0.0,20,2.0,1,10,8,7,1958,2011,2011,7,8,8,3,0,6,18.0,0
3.0,1,1.0,1,24,29,26,1962,2012,2012,10,2,2,2,2,6,36.0,0
4.0,15,20.0,1,1,9,28,1968,2012,2012,1,4,3,0,0,2,150.0,0
0.0,21,0.0,1,28,9,5,1990,2011,2010,3,5,10,2,0,1,36.0,0
2.0,5,1.0,1,12,29,21,1981,2011,2011,1,11,11,0,1,0,25.0,0
1.0,7,2.0,1,25,7,24,1977,2011,2011,3,8,7,4,6,6,18.0,0
2.0,4,7.0,1,1,22,21,1980,2012,2012,6,3,3,6,3,2,30.0,0
0.0,15,1.0,1,13,19,14,1956,2012,2011,6,2,6,2,6,1,36.0,0
4.0,1,1.0,1,21,2,27,1955,2012,2011,4,1,12,3,0,1,36.0,0
0.0,15,1.0,2,1,29,10,1976,2012,2011,1,1,7,3,6,6,36.0,0
2.0,8,3.0,1,23,4,17,1980,2011,2011,8,8,7,5,3,6,66.0,0
0.0,2,4.0,1,9,25,22,1986,2011,2010,1,10,4,3,1,3,26.0,0
0.0,10,12.0,1,11,8,24,1971,2012,2011,6,3,3,4,3,3,50.0,0
1.0,2,3.0,1,21,11,9,1981,2012,2012,6,4,4,6,2,0,80.0,0
0.0,2,21.0,1,24,9,21,1988,2012,2011,2,1,12,2,0,2,25.0,0
0.0,8,2.0,1,25,13,25,1983,2011,2011,8,10,9,3,3,6,38532.0,1
0.0,15,1.0,2,15,22,25,1960,2011,2003,2,9,8,0,3,0,96.0,0
0.0,2,1.0,1,26,21,25,1976,2011,2010,9,6,11,6,1,3,20.0,0
3.0,22,22.0,1,24,27,30,1962,2011,2011,1,7,6,2,2,3,36.0,0
0.0,15,1.0,1,28,30,11,1961,2011,2011,5,10,10,6,6,1,50.0,0
0.0,24,3.0,1,12,9,16,1986,2011,2009,12,8,12,4,1,2,26296.0,0
2.0,15,1.0,2,15,27,23,1964,2011,2011,12,10,10,1,3,6,200.0,0
2.0,1,1.0,1,22,12,11,1959,2012,2012,9,3,3,1,0,6,36.0,0
0.0,10,1.0,2,6,19,2,1986,2011,2008,9,10,7,5,2,2,20.0,0
0.0,1,3.0,1,24,23,14,1983,2011,2011,8,5,4,2,0,3,18.0,0
4.0,22,2.0,2,27,29,29,1971,2011,2011,9,9,9,0,3,3,18.0,0
0.0,10,5.0,1,17,14,13,1982,2012,2009,4,3,5,5,2,2,250.0,0
2.0,10,12.0,1,22,9,5,1968,2011,2011,12,8,7,6,1,1,35.0,0
0.0,15,1.0,1,30,17,24,1963,2012,2009,6,1,3,6,1,1,36.0,0
3.0,10,1.0,1,13,24,19,1956,2011,2011,5,7,7,6,6,1,36.0,0
2.0,10,1.0,1,10,7,2,1970,2011,2011,7,8,8,4,6,1,36.0,0
0.0,5,4.0,1,22,16,25,1984,2012,2008,12,2,8,5,3,0,36.0,0
0.0,10,3.0,2,18,25,15,1947,2011,1994,2,10,9,1,1,3,36.0,0
0.0,20,4.0,1,19,16,3,1981,2011,2011,4,10,10,6,6,0,27852.0,0
0.0,10,3.0,1,9,7,21,1972,2012,2008,4,2,10,6,1,1,36.0,0
0.0,11,10.0,1,8,29,27,1978,2012,2012,6,2,2,3,2,0,36.0,0
0.0,10,10.0,1,19,27,1,1959,2011,2009,1,12,11,0,1,6,50.0,0
2.0,14,1.0,1,9,25,14,1969,2011,2011,3,7,7,6,0,3,120.0,0
2.0,20,16.0,2,12,21,15,1968,2011,2011,10,11,11,5,0,1,111996.0,0
2.0,10,1.0,2,15,14,20,1981,2012,2011,6,3,12,0,2,1,18.0,0
0.0,10,3.0,1,27,3,30,1984,2011,2011,9,11,10,3,3,6,36.0,0
0.0,40,2.0,1,8,21,18,1973,2011,2011,8,9,9,2,2,6,18.0,0
1.0,10,2.0,1,8,1,22,1988,2012,2012,3,3,2,1,3,2,24.0,0
0.0,1,1.0,1,10,1,31,1960,2011,2011,3,11,10,3,1,0,36.0,0
0.0,10,2.0,1,14,12,3,1982,2012,2012,11,2,1,6,6,1,4992.0,0
0.0,10,1.0,1,20,20,17,1952,2011,2011,10,7,7,0,2,6,36.0,0
0.0,15,5.0,1,30,21,19,1964,2012,2012,11,2,2,0,1,6,240.0,0
0.0,10,10.0,1,9,11,3,1975,2011,2011,5,10,8,4,1,2,20.0,0
0.0,8,1.0,2,18,12,9,1957,2012,2012,6,2,2,1,6,3,25.0,0
3.0,1,8.0,1,3,29,12,1970,2012,2008,1,3,6,5,3,3,10524.0,0
2.0,8,1.0,1,6,25,19,1976,2011,2011,3,7,7,5,0,1,20.0,0
0.0,10,10.0,1,13,12,11,1958,2011,2011,4,9,9,6,0,6,36.0,0
0.0,10,10.0,1,16,20,13,1971,2012,2012,10,2,2,5,0,0,36.0,0
2.0,34,11.0,1,27,29,17,1977,2012,2008,11,3,9,6,3,2,24.0,0
3.0,5,2.0,1,15,25,24,1967,2011,2011,4,8,8,5,3,2,18.0,0
0.0,7,1.0,1,3,18,13,1981,2011,2011,1,7,7,5,0,2,36.0,0
3.0,12,12.0,1,12,13,6,1971,2011,2005,3,9,1,4,1,3,78.0,0
0.0,1,1.0,1,9,1,29,1971,2012,2007,1,2,5,5,2,1,25.0,0
0.0,20,30.0,1,23,24,23,1959,2011,2011,2,5,5,0,1,0,12.0,0
2.0,6,1.0,1,7,8,1,1951,2012,1992,12,4,9,4,6,1,120.0,0
2.0,1,1.0,1,12,18,13,1980,2011,2011,5,9,9,0,6,1,36.0,0
3.0,19,1.0,1,22,27,8,1971,2011,2010,6,9,9,1,1,2,36.0,0
2.0,20,1.0,1,2,12,5,1960,2011,2011,4,10,10,5,2,2,20.0,0
0.0,5,1.0,1,2,20,19,1983,2011,2011,4,6,6,5,0,6,20.0,0
0.0,15,1.0,2,20,28,11,1981,2011,2011,11,7,7,4,3,0,30.0,0
0.0,6,1.0,2,18,7,21,1986,2011,2011,11,12,11,1,2,0,204.0,0
0.0,22,2.0,1,3,10,5,1990,2012,2012,4,1,1,1,1,3,18.0,0
0.0,15,1.0,1,2,12,19,1961,2011,2006,2,8,6,3,4,0,100.0,0
2.0,12,2.0,1,1,15,14,1972,2011,2011,1,8,8,5,0,6,18.0,0
0.0,2,1.0,1,28,5,4,1984,2011,2011,11,5,5,2,3,2,18.0,0
0.0,11,11.0,1,1,8,2,1964,2011,2006,11,12,7,6,3,6,36.0,0
2.0,22,14.0,1,14,2,6,1973,2011,2009,3,10,4,2,6,0,500.0,0
0.0,1,1.0,1,7,8,3,1983,2011,2011,2,12,11,0,3,3,36.0,0
4.0,20,20.0,1,26,7,11,1958,2011,2009,6,7,3,3,3,2,71124.0,0
3.0,15,15.0,1,15,15,17,1978,2012,2009,7,1,5,5,6,6,36.0,0
0.0,15,1.0,1,10,2,28,1958,2012,2011,10,1,12,4,0,2,30.0,0
2.0,10,10.0,1,4,19,26,1975,2012,2009,3,4,4,1,3,6,19992.0,0
2.0,1,1.0,1,12,18,17,1980,2012,2012,12,4,4,4,2,1,36.0,0
2.0,8,14.0,1,5,25,25,1973,2011,2010,9,7,10,2,0,0,120.0,0
4.0,1,1.0,1,4,15,12,1980,2012,2011,1,1,12,4,6,0,36.0,0
2.0,1,1.0,1,5,15,19,1976,2011,2008,1,8,10,0,0,6,20.0,0
